Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Manufacturing,Maori Small to Medium Enterprises,Counts,1000,2013,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Mining,All New Zealand Businesses,Counts,2400,2013,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Mining,Maori Small to Medium Enterprises,Counts,25,2013,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Other services,All New Zealand Businesses,Counts,55900,2013,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Other services,Maori Small to Medium Enterprises,Counts,140,2013,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Professional, scientific, and technical services",All New Zealand Businesses,Counts,86200,2013,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Professional, scientific, and technical services",Maori Small to Medium Enterprises,Counts,580,2013,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Public administration and safety,All New Zealand Businesses,Counts,7700,2013,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Public administration and safety,Maori Small to Medium Enterprises,Counts,130,2013,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",All New Zealand Businesses,Counts,21600,2013,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",Maori Small to Medium Enterprises,Counts,340,2013,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",Maori Tourism,Counts,180,2013,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Retail trade,All New Zealand Businesses,Counts,95000,2013,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Retail trade,Maori Small to Medium Enterprises,Counts,190,2013,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Total,All New Zealand Businesses,Counts,1027400,2013,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Total,Maori Small to Medium Enterprises,Counts,7800,2013,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Total,Maori Tourism,Counts,12200,2013,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",All New Zealand Businesses,Counts,36100,2013,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",Maori Small to Medium Enterprises,Counts,210,2013,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",Maori Tourism,Counts,1100,2013,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Wholesale trade,All New Zealand Businesses,Counts,66800,2013,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Wholesale trade,Maori Small to Medium Enterprises,Counts,240,2013,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,All New Zealand Businesses,Counts,108900,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,Maori Small to Medium Enterprises,Counts,560,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,Maori Tourism,Counts,1250,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,All New Zealand Businesses,Counts,37300,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,Maori Small to Medium Enterprises,Counts,560,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,Maori Tourism,Counts,7500,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Agriculture, forestry, and fishing",All New Zealand Businesses,Counts,101000,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Agriculture, forestry, and fishing",Maori Small to Medium Enterprises,Counts,1350,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,All other industies,Maori Tourism,Counts,950,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,All New Zealand Businesses,Counts,22400,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,Maori Small to Medium Enterprises,Counts,670,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,Maori Tourism,Counts,1100,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Construction,All New Zealand Businesses,Counts,100300,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Construction,Maori Small to Medium Enterprises,Counts,850,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Education and training,All New Zealand Businesses,Counts,94400,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Education and training,Maori Small to Medium Enterprises,Counts,310,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Electricity, gas, water, and waste services",All New Zealand Businesses,Counts,3800,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Electricity, gas, water, and waste services",Maori Small to Medium Enterprises,Counts,35,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Financial and insurance services,All New Zealand Businesses,Counts,13100,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Financial and insurance services,Maori Small to Medium Enterprises,Counts,140,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Health care and social assistance,All New Zealand Businesses,Counts,73500,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Health care and social assistance,Maori Small to Medium Enterprises,Counts,950,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Information media and telecommunications,All New Zealand Businesses,Counts,8500,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Information media and telecommunications,Maori Small to Medium Enterprises,Counts,200,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Manufacturing,All New Zealand Businesses,Counts,112400,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Manufacturing,Maori Small to Medium Enterprises,Counts,1050,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Mining,All New Zealand Businesses,Counts,2750,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Mining,Maori Small to Medium Enterprises,Counts,55,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Other services,All New Zealand Businesses,Counts,57200,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Other services,Maori Small to Medium Enterprises,Counts,160,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Professional, scientific, and technical services",All New Zealand Businesses,Counts,89600,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Professional, scientific, and technical services",Maori Small to Medium Enterprises,Counts,590,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Public administration and safety,All New Zealand Businesses,Counts,7800,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Public administration and safety,Maori Small to Medium Enterprises,Counts,140,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",All New Zealand Businesses,Counts,22500,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",Maori Small to Medium Enterprises,Counts,300,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",Maori Tourism,Counts,210,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Retail trade,All New Zealand Businesses,Counts,96700,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Retail trade,Maori Small to Medium Enterprises,Counts,210,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Total,All New Zealand Businesses,Counts,1057600,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Total,Maori Small to Medium Enterprises,Counts,8700,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Total,Maori Tourism,Counts,12400,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",All New Zealand Businesses,Counts,36700,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",Maori Small to Medium Enterprises,Counts,250,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",Maori Tourism,Counts,1400,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Wholesale trade,All New Zealand Businesses,Counts,68500,2014,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Wholesale trade,Maori Small to Medium Enterprises,Counts,260,2014,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,All New Zealand Businesses,Counts,114300,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,Maori Small to Medium Enterprises,Counts,620,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,Maori Tourism,Counts,1350,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,All New Zealand Businesses,Counts,39500,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,Maori Small to Medium Enterprises,Counts,690,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,Maori Tourism,Counts,6000,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Agriculture, forestry, and fishing",All New Zealand Businesses,Counts,100300,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Agriculture, forestry, and fishing",Maori Small to Medium Enterprises,Counts,1200,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,All other industies,Maori Tourism,Counts,960,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,All New Zealand Businesses,Counts,22100,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,Maori Small to Medium Enterprises,Counts,620,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,Maori Tourism,Counts,1200,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Construction,All New Zealand Businesses,Counts,107200,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Construction,Maori Small to Medium Enterprises,Counts,940,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Education and training,All New Zealand Businesses,Counts,95100,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Education and training,Maori Small to Medium Enterprises,Counts,430,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Electricity, gas, water, and waste services",All New Zealand Businesses,Counts,3800,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Electricity, gas, water, and waste services",Maori Small to Medium Enterprises,Counts,45,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Financial and insurance services,All New Zealand Businesses,Counts,13100,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Financial and insurance services,Maori Small to Medium Enterprises,Counts,180,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Health care and social assistance,All New Zealand Businesses,Counts,74200,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Health care and social assistance,Maori Small to Medium Enterprises,Counts,1100,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Information media and telecommunications,All New Zealand Businesses,Counts,8600,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Information media and telecommunications,Maori Small to Medium Enterprises,Counts,180,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Manufacturing,All New Zealand Businesses,Counts,114500,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Manufacturing,Maori Small to Medium Enterprises,Counts,1150,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Mining,All New Zealand Businesses,Counts,2700,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Mining,Maori Small to Medium Enterprises,Counts,50,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Other services,All New Zealand Businesses,Counts,58300,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Other services,Maori Small to Medium Enterprises,Counts,160,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Professional, scientific, and technical services",All New Zealand Businesses,Counts,93800,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Professional, scientific, and technical services",Maori Small to Medium Enterprises,Counts,630,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Public administration and safety,All New Zealand Businesses,Counts,7700,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Public administration and safety,Maori Small to Medium Enterprises,Counts,90,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",All New Zealand Businesses,Counts,22200,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",Maori Small to Medium Enterprises,Counts,260,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",Maori Tourism,Counts,230,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Retail trade,All New Zealand Businesses,Counts,97500,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Retail trade,Maori Small to Medium Enterprises,Counts,250,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Total,All New Zealand Businesses,Counts,1082100,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Total,Maori Small to Medium Enterprises,Counts,9200,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Total,Maori Tourism,Counts,11400,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",All New Zealand Businesses,Counts,37600,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",Maori Small to Medium Enterprises,Counts,270,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",Maori Tourism,Counts,1600,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Wholesale trade,All New Zealand Businesses,Counts,69400,2015,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Wholesale trade,Maori Small to Medium Enterprises,Counts,300,2015,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,All New Zealand Businesses,Counts,120500,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,Maori Small to Medium Enterprises,Counts,690,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,Maori Tourism,Counts,1450,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,All New Zealand Businesses,Counts,41100,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,Maori Small to Medium Enterprises,Counts,740,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,Maori Tourism,Counts,5700,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Agriculture, forestry, and fishing",All New Zealand Businesses,Counts,101100,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Agriculture, forestry, and fishing",Maori Small to Medium Enterprises,Counts,1350,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,All other industies,Maori Tourism,Counts,1000,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,All New Zealand Businesses,Counts,22500,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,Maori Small to Medium Enterprises,Counts,620,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,Maori Tourism,Counts,1250,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Construction,All New Zealand Businesses,Counts,114000,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Construction,Maori Small to Medium Enterprises,Counts,1050,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Education and training,All New Zealand Businesses,Counts,95700,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Education and training,Maori Small to Medium Enterprises,Counts,510,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Electricity, gas, water, and waste services",All New Zealand Businesses,Counts,4000,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Electricity, gas, water, and waste services",Maori Small to Medium Enterprises,Counts,45,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Financial and insurance services,All New Zealand Businesses,Counts,13200,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Financial and insurance services,Maori Small to Medium Enterprises,Counts,80,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Health care and social assistance,All New Zealand Businesses,Counts,74800,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Health care and social assistance,Maori Small to Medium Enterprises,Counts,1100,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Information media and telecommunications,All New Zealand Businesses,Counts,9200,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Information media and telecommunications,Maori Small to Medium Enterprises,Counts,180,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Manufacturing,All New Zealand Businesses,Counts,117400,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Manufacturing,Maori Small to Medium Enterprises,Counts,1300,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Mining,All New Zealand Businesses,Counts,2850,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Mining,Maori Small to Medium Enterprises,Counts,65,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Other services,All New Zealand Businesses,Counts,59200,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Other services,Maori Small to Medium Enterprises,Counts,180,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Professional, scientific, and technical services",All New Zealand Businesses,Counts,96500,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Professional, scientific, and technical services",Maori Small to Medium Enterprises,Counts,660,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Public administration and safety,All New Zealand Businesses,Counts,7900,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Public administration and safety,Maori Small to Medium Enterprises,Counts,80,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",All New Zealand Businesses,Counts,22800,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",Maori Small to Medium Enterprises,Counts,310,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",Maori Tourism,Counts,270,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Retail trade,All New Zealand Businesses,Counts,99400,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Retail trade,Maori Small to Medium Enterprises,Counts,290,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Total,All New Zealand Businesses,Counts,1111900,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Total,Maori Small to Medium Enterprises,Counts,9900,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Total,Maori Tourism,Counts,11600,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",All New Zealand Businesses,Counts,39100,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",Maori Small to Medium Enterprises,Counts,330,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",Maori Tourism,Counts,2000,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Wholesale trade,All New Zealand Businesses,Counts,70700,2016,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Wholesale trade,Maori Small to Medium Enterprises,Counts,300,2016,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,All New Zealand Businesses,Counts,128200,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,Maori Small to Medium Enterprises,Counts,600,2017,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,Maori Tourism,Counts,1500,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,All New Zealand Businesses,Counts,43100,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,Maori Small to Medium Enterprises,Counts,640,2017,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,Maori Tourism,Counts,5300,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Agriculture, forestry, and fishing",All New Zealand Businesses,Counts,97200,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Agriculture, forestry, and fishing",Maori Small to Medium Enterprises,Counts,1200,2017,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,All other industies,Maori Tourism,Counts,960,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,All New Zealand Businesses,Counts,23200,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,Maori Small to Medium Enterprises,Counts,680,2017,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,Maori Tourism,Counts,1350,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Construction,All New Zealand Businesses,Counts,123100,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Construction,Maori Small to Medium Enterprises,Counts,1200,2017,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Education and training,All New Zealand Businesses,Counts,95700,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Education and training,Maori Small to Medium Enterprises,Counts,430,2017,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Electricity, gas, water, and waste services",All New Zealand Businesses,Counts,3950,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,"Electricity, gas, water, and waste services",Maori Small to Medium Enterprises,Counts,50,2017,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Financial and insurance services,All New Zealand Businesses,Counts,13200,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Financial and insurance services,Maori Small to Medium Enterprises,Counts,90,2017,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Health care and social assistance,All New Zealand Businesses,Counts,76100,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Health care and social assistance,Maori Small to Medium Enterprises,Counts,1200,2017,1 and 3 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Information media and telecommunications,All New Zealand Businesses,Counts,9100,2017,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By Industry division,Information media and telecommunications,Maori Small to Medium Enterprises,Counts,160,2017,1 and 3 and 2
